Movie, Production, Director, Genre, Publisher
A Dark Truth, Magnolia Pictures, Damian Lee, Action, ComingSoon.net 
Table No. 21, Eros International, Aditya Datt, Thriller, BoxOfficeMojo.com 
Texas Chainsaw 3D, Lions Gate Entertainment, John Luessenhop, Horror, ComingSoon.net 
The Grandmaster (film), Block 2 Pictures/ Jet Tone Films, Wong Kar-wai, Action/ Drama, Berlinale.de 
A Haunted House (film), Open Road Films, Michael Tiddes, Comedy/ Horror, ComingSoon.net 
Gangster Squad, Warner Bros., Ruben Fleischer, Action/ Crime, ComingSoon.net 
Matru Ki Bijlee Ka Mandola, Fox Star Studios, Vishal Bhardwaj, Romantic Comedy, BoxOfficeMojo.com 
Struck by Lightning (2012 film), Tribeca Film, Brian Dannelly, Comedy/ Drama, ComingSoon.net 
Hansel and Gretel: Witch Hunters, Paramount Pictures/ Metro-Goldwyn-Mayer, Tommy Wirkola, Action/ Fantasy, hanselandgretelmovie.com 
Broken City (film), 20th Century Fox, Hughes brothers|Allen Hughes, Crime, ComingSoon.net 
LUV (film), Indomina Media, Sheldon Candis, Drama, BoxOfficeMojo.com 
Mama (2013 film), Universal Studios, Andres Muschietti, Horror/ Thriller, ComingSoon.net 
Officer Down, Anchor Bay Films, Brian A Miller, Action, BoxOfficerMojo.com 
The Last Stand (2013 film), Lions Gate Entertainment, Kim Ji-woon, Action, ComingSoon.net 
John Dies at the End (film), Magnolia Pictures, Don Coscarelli, Comedy/ Horror, boxofficemojo.com 
Knife Fight, IFC Films, Bill Guttentag, Political Thriller, boxofficemojo.com 
Movie 43, Relativity Media, Patrik Forsberg, Comedy, ComingSoon.net 
Parker (2013 film), FilmDistrict, Taylor Hackford, Crime/ Action, ComingSoon.net 
Race 2, Tips Music Films, Abbas-Mustan, Action, BoxOfficeMojo.com 
Television (film), Chabial, Mostofa Sarwar Farooki, Drama, imdb.com 
Bullet to the Head, Warner Bros., Walter Hill, Crime/ Action, ComingSoon.net 
Sound City (film), Therapy Studios, Dave Grohl, Documentary, BoxOfficeMojo.com 
Stand Up Guys, Lions Gate Entertainment, Fisher Stevens, Crime/ Comedy, ComingSoon.net 
