"country","position","row_count"
"BRA","1","5"
"ITA","1","4"
"GER","1","3"
"URU","1","2"
"ARG","1","2"
"ENG","1","1"
"FRA","1","1"
"ESP","1","1"
"GER","2","4"
"NED","2","3"
"HUN","2","2"
"ARG","2","2"
"ITA","2","2"
"TCH","2","2"
"BRA","2","2"
"FRA","2","1"
"SWE","2","1"
"GER","3","4"
"POL","3","2"
"FRA","3","2"
"SWE","3","2"
"BRA","3","2"
"ITA","3","1"
"AUT","3","1"
"POR","3","1"
"USA","3","1"
"CHI","3","1"
"CRO","3","1"
"TUR","3","1"
"URU","4","3"
"YUG","4","2"
"ESP","4","1"
"GER","4","1"
"AUT","4","1"
"NED","4","1"
"POR","4","1"
"FRA","4","1"
"BRA","4","1"
"ENG","4","1"
"ITA","4","1"
"SWE","4","1"
"URS","4","1"
"BEL","4","1"
"BUL","4","1"
"KOR","4","1"
